Metric,AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
KARRATHA1993,KARRATHA,1993,19,87821,88371,176192,0,0,0,87821,88371,176192
KARRATHA1994,KARRATHA,1994,19,98808,99945,198753,0,0,0,98808,99945,198753
KARRATHA1995,KARRATHA,1995,20,87015,87662,174677,0,0,0,87015,87662,174677
KARRATHA1996,KARRATHA,1996,21,85417,86386,171803,0,0,0,85417,86386,171803
KARRATHA1997,KARRATHA,1997,21,89021,89899,178920,0,0,0,89021,89899,178920
KARRATHA1998,KARRATHA,1998,21,94896,96002,190898,0,0,0,94896,96002,190898
KARRATHA1999,KARRATHA,1999,22,84423,85941,170364,0,0,0,84423,85941,170364
KARRATHA2000,KARRATHA,2000,25,81387,82210,163597,0,0,0,81387,82210,163597
KARRATHA2001,KARRATHA,2001,22,78163,78701,156864,0,0,0,78163,78701,156864
KARRATHA2002,KARRATHA,2002,23,75330,77589,152919,0,0,0,75330,77589,152919
KARRATHA2003,KARRATHA,2003,22,86922,88115,175037,0,0,0,86922,88115,175037
KARRATHA2004,KARRATHA,2004,22,99439,101337,200776,0,0,0,99439,101337,200776
KARRATHA2005,KARRATHA,2005,22,120020,121449,241469,0,0,0,120020,121449,241469
KARRATHA2006,KARRATHA,2006,23,144656,146574,291230,0,0,0,144656,146574,291230
KARRATHA2007,KARRATHA,2007,21,168494,170148,338642,0,0,0,168494,170148,338642
KARRATHA2008,KARRATHA,2008,18,220791,224181,444972,0,0,0,220791,224181,444972
KARRATHA2009,KARRATHA,2009,18,268292,270877,539169,0,0,0,268292,270877,539169
KARRATHA2010,KARRATHA,2010,18,310191,318616,628807,0,0,0,310191,318616,628807
KARRATHA2011,KARRATHA,2011,16,369715,370596,740311,0,0,0,369715,370596,740311
KARRATHA2012,KARRATHA,2012,15,409303,409112,818415,0,0,0,409303,409112,818415
KARRATHA2013,KARRATHA,2013,16,384101,386514,770615,0,0,0,384101,386514,770615
KARRATHA2014,KARRATHA,2014,16,354186,356182,710368,0,0,0,354186,356182,710368
KARRATHA2015,KARRATHA,2015,17,303359,304227,607586,0,0,0,303359,304227,607586
KARRATHA2016,KARRATHA,2016,19,248446,246448,494894,0,0,0,248446,246448,494894
KING ISLAND1985,KING ISLAND,1985,-,10296,10624,20920,0,0,0,10296,10624,20920
KING ISLAND1986,KING ISLAND,1986,-,9765,9966,19731,0,0,0,9765,9966,19731
KING ISLAND1987,KING ISLAND,1987,-,12361,12261,24622,0,0,0,12361,12261,24622
KING ISLAND1988,KING ISLAND,1988,-,14809,14420,29229,0,0,0,14809,14420,29229
KING ISLAND1989,KING ISLAND,1989,-,15390,15284,30674,0,0,0,15390,15284,30674
KING ISLAND1990,KING ISLAND,1990,-,15770,15916,31686,0,0,0,15770,15916,31686
KING ISLAND1991,KING ISLAND,1991,-,15390,15167,30557,0,0,0,15390,15167,30557
KING ISLAND1992,KING ISLAND,1992,-,15651,15182,30833,0,0,0,15651,15182,30833
KING ISLAND1993,KING ISLAND,1993,-,17608,17367,34975,0,0,0,17608,17367,34975
KING ISLAND1994,KING ISLAND,1994,-,18182,18377,36559,0,0,0,18182,18377,36559
KING ISLAND1995,KING ISLAND,1995,-,18144,17809,35953,0,0,0,18144,17809,35953
KING ISLAND1996,KING ISLAND,1996,-,17027,16940,33967,0,0,0,17027,16940,33967
KING ISLAND1997,KING ISLAND,1997,-,17628,17751,35379,0,0,0,17628,17751,35379
KING ISLAND1998,KING ISLAND,1998,-,20162,20142,40304,0,0,0,20162,20142,40304
KING ISLAND1999,KING ISLAND,1999,-,17079,17202,34281,0,0,0,17079,17202,34281
KING ISLAND2000,KING ISLAND,2000,-,13872,13873,27745,0,0,0,13872,13873,27745
KING ISLAND2001,KING ISLAND,2001,-,13778,13781,27559,0,0,0,13778,13781,27559
KING ISLAND2002,KING ISLAND,2002,-,8817,8664,17481,0,0,0,8817,8664,17481
KING ISLAND2003,KING ISLAND,2003,-,9052,8857,17909,0,0,0,9052,8857,17909
KING ISLAND2004,KING ISLAND,2004,-,14322,14158,28480,0,0,0,14322,14158,28480
KING ISLAND2005,KING ISLAND,2005,-,13180,13165,26345,0,0,0,13180,13165,26345
KING ISLAND2006,KING ISLAND,2006,-,14552,14485,29037,0,0,0,14552,14485,29037
KING ISLAND2007,KING ISLAND,2007,-,15381,15376,30757,0,0,0,15381,15376,30757
KING ISLAND2008,KING ISLAND,2008,-,16128,16079,32207,0,0,0,16128,16079,32207
KING ISLAND2009,KING ISLAND,2009,-,16325,16275,32600,0,0,0,16325,16275,32600
KING ISLAND2010,KING ISLAND,2010,-,15716,15546,31262,0,0,0,15716,15546,31262
KING ISLAND2011,KING ISLAND,2011,-,15918,15790,31708,0,0,0,15918,15790,31708
KING ISLAND2012,KING ISLAND,2012,-,17084,17089,34173,0,0,0,17084,17089,34173
KING ISLAND2013,KING ISLAND,2013,-,16885,16704,33589,0,0,0,16885,16704,33589
KING ISLAND2014,KING ISLAND,2014,-,16679,16711,33390,0,0,0,16679,16711,33390
KING ISLAND2015,KING ISLAND,2015,-,17029,17015,34044,0,0,0,17029,17015,34044
KING ISLAND2016,KING ISLAND,2016,-,18937,18873,37810,0,0,0,18937,18873,37810
KINGSCOTE1985,KINGSCOTE,1985,43,26913,27344,54257,0,0,0,26913,27344,54257
KINGSCOTE1986,KINGSCOTE,1986,-,23880,24393,48273,0,0,0,23880,24393,48273
KINGSCOTE1987,KINGSCOTE,1987,-,20531,21084,41615,0,0,0,20531,21084,41615
KINGSCOTE1988,KINGSCOTE,1988,-,20734,20760,41494,0,0,0,20734,20760,41494
KINGSCOTE1989,KINGSCOTE,1989,-,21393,22168,43561,0,0,0,21393,22168,43561
KINGSCOTE1990,KINGSCOTE,1990,-,10629,10032,20661,0,0,0,10629,10032,20661
KINGSCOTE1991,KINGSCOTE,1991,-,21928,21766,43694,0,0,0,21928,21766,43694
KINGSCOTE1992,KINGSCOTE,1992,-,22719,22534,45253,0,0,0,22719,22534,45253
KINGSCOTE1993,KINGSCOTE,1993,46,27142,27458,54600,0,0,0,27142,27458,54600
KINGSCOTE1994,KINGSCOTE,1994,44,31707,32690,64397,0,0,0,31707,32690,64397
KINGSCOTE1995,KINGSCOTE,1995,42,33376,33924,67300,0,0,0,33376,33924,67300
KINGSCOTE1996,KINGSCOTE,1996,40,36617,37490,74107,0,0,0,36617,37490,74107
KINGSCOTE1997,KINGSCOTE,1997,39,39266,40418,79684,0,0,0,39266,40418,79684
KINGSCOTE1998,KINGSCOTE,1998,36,45045,46917,91962,0,0,0,45045,46917,91962
KINGSCOTE1999,KINGSCOTE,1999,37,44420,46123,90543,0,0,0,44420,46123,90543
KINGSCOTE2000,KINGSCOTE,2000,38,40545,42230,82775,0,0,0,40545,42230,82775
KINGSCOTE2001,KINGSCOTE,2001,40,35316,36176,71492,0,0,0,35316,36176,71492
KINGSCOTE2002,KINGSCOTE,2002,40,32341,32221,64562,0,0,0,32341,32221,64562
KINGSCOTE2003,KINGSCOTE,2003,43,29382,31302,60684,0,0,0,29382,31302,60684
KINGSCOTE2004,KINGSCOTE,2004,45,32350,33774,66124,0,0,0,32350,33774,66124
KINGSCOTE2005,KINGSCOTE,2005,49,30270,31886,62156,0,0,0,30270,31886,62156
KINGSCOTE2006,KINGSCOTE,2006,53,27853,30246,58099,0,0,0,27853,30246,58099
KINGSCOTE2007,KINGSCOTE,2007,54,30283,33024,63307,0,0,0,30283,33024,63307
KINGSCOTE2008,KINGSCOTE,2008,54,29957,32065,62022,0,0,0,29957,32065,62022
KINGSCOTE2009,KINGSCOTE,2009,55,27489,29069,56558,0,0,0,27489,29069,56558
KINGSCOTE2010,KINGSCOTE,2010,57,25153,27399,52552,0,0,0,25153,27399,52552
KINGSCOTE2011,KINGSCOTE,2011,-,21628,23988,45616,0,0,0,21628,23988,45616
KINGSCOTE2012,KINGSCOTE,2012,-,19113,20389,39502,0,0,0,19113,20389,39502
KINGSCOTE2013,KINGSCOTE,2013,-,18126,20244,38370,0,0,0,18126,20244,38370
KINGSCOTE2014,KINGSCOTE,2014,-,17591,19262,36853,0,0,0,17591,19262,36853
KINGSCOTE2015,KINGSCOTE,2015,-,16705,18297,35002,0,0,0,16705,18297,35002
KINGSCOTE2016,KINGSCOTE,2016,-,18142,20043,38185,0,0,0,18142,20043,38185
KUNUNURRA1985,KUNUNURRA,1985,32,37929,38247,76176,0,0,0,37929,38247,76176
KUNUNURRA1986,KUNUNURRA,1986,38,35691,35622,71313,0,0,0,35691,35622,71313
KUNUNURRA1987,KUNUNURRA,1987,32,41031,41409,82440,0,0,0,41031,41409,82440
KUNUNURRA1988,KUNUNURRA,1988,28,45480,45632,91112,0,0,0,45480,45632,91112
KUNUNURRA1989,KUNUNURRA,1989,29,36647,36876,73523,0,0,0,36647,36876,73523
KUNUNURRA1990,KUNUNURRA,1990,22,47646,48184,95830,0,0,0,47646,48184,95830
KUNUNURRA1991,KUNUNURRA,1991,28,46878,47556,94434,0,0,0,46878,47556,94434
KUNUNURRA1992,KUNUNURRA,1992,26,50062,50543,100605,0,0,0,50062,50543,100605
KUNUNURRA1993,KUNUNURRA,1993,26,55924,56333,112257,0,0,0,55924,56333,112257
KUNUNURRA1994,KUNUNURRA,1994,24,65925,65186,131111,0,0,0,65925,65186,131111
KUNUNURRA1995,KUNUNURRA,1995,26,61435,61555,122990,0,0,0,61435,61555,122990
KUNUNURRA1996,KUNUNURRA,1996,30,53576,54323,107899,0,0,0,53576,54323,107899
KUNUNURRA1997,KUNUNURRA,1997,36,45305,45627,90932,0,0,0,45305,45627,90932
KUNUNURRA1998,KUNUNURRA,1998,38,43836,44010,87846,0,0,0,43836,44010,87846
KUNUNURRA1999,KUNUNURRA,1999,42,36970,37408,74378,0,0,0,36970,37408,74378
KUNUNURRA2000,KUNUNURRA,2000,45,29412,27901,57313,0,0,0,29412,27901,57313
KUNUNURRA2001,KUNUNURRA,2001,45,25322,25649,50971,0,0,0,25322,25649,50971
KUNUNURRA2002,KUNUNURRA,2002,-,17601,18316,35917,0,0,0,17601,18316,35917
KUNUNURRA2003,KUNUNURRA,2003,-,18173,18855,37028,0,0,0,18173,18855,37028
KUNUNURRA2004,KUNUNURRA,2004,-,22282,23567,45849,0,0,0,22282,23567,45849
KUNUNURRA2005,KUNUNURRA,2005,-,23362,23757,47119,0,0,0,23362,23757,47119
KUNUNURRA2006,KUNUNURRA,2006,52,28975,29962,58937,0,0,0,28975,29962,58937
KUNUNURRA2007,KUNUNURRA,2007,52,31503,32189,63692,0,0,0,31503,32189,63692
KUNUNURRA2008,KUNUNURRA,2008,49,35990,36559,72549,0,0,0,35990,36559,72549
KUNUNURRA2009,KUNUNURRA,2009,47,39119,40077,79196,0,0,0,39119,40077,79196
KUNUNURRA2010,KUNUNURRA,2010,46,42047,42873,84920,0,0,0,42047,42873,84920
KUNUNURRA2011,KUNUNURRA,2011,46,44095,45135,89230,0,0,0,44095,45135,89230
KUNUNURRA2012,KUNUNURRA,2012,50,46106,46097,92203,0,0,0,46106,46097,92203
KUNUNURRA2013,KUNUNURRA,2013,49,45230,45834,91064,0,0,0,45230,45834,91064
KUNUNURRA2014,KUNUNURRA,2014,49,39862,39972,79834,0,0,0,39862,39972,79834
KUNUNURRA2015,KUNUNURRA,2015,49,36840,37252,74092,0,0,0,36840,37252,74092
KUNUNURRA2016,KUNUNURRA,2016,50,36072,36871,72943,0,0,0,36072,36871,72943
LAUNCESTON1985,LAUNCESTON,1985,9,298602,298479,597081,0,0,0,298602,298479,597081
LAUNCESTON1986,LAUNCESTON,1986,11,291209,291361,582570,0,0,0,291209,291361,582570
LAUNCESTON1987,LAUNCESTON,1987,11,298724,301477,600201,0,0,0,298724,301477,600201
LAUNCESTON1988,LAUNCESTON,1988,11,310634,311595,622229,0,0,0,310634,311595,622229
LAUNCESTON1989,LAUNCESTON,1989,13,193195,197873,391068,0,0,0,193195,197873,391068
LAUNCESTON1990,LAUNCESTON,1990,13,195054,194801,389855,0,0,0,195054,194801,389855
LAUNCESTON1991,LAUNCESTON,1991,13,213836,217316,431152,0,0,0,213836,217316,431152
LAUNCESTON1992,LAUNCESTON,1992,13,227168,229515,456683,0,0,0,227168,229515,456683
LAUNCESTON1993,LAUNCESTON,1993,13,243562,243332,486894,0,0,0,243562,243332,486894
LAUNCESTON1994,LAUNCESTON,1994,13,268891,270489,539380,0,0,0,268891,270489,539380
LAUNCESTON1995,LAUNCESTON,1995,13,285723,287395,573118,0,0,0,285723,287395,573118
LAUNCESTON1996,LAUNCESTON,1996,13,294240,297377,591617,0,0,0,294240,297377,591617
LAUNCESTON1997,LAUNCESTON,1997,13,277665,281172,558837,0,0,0,277665,281172,558837
LAUNCESTON1998,LAUNCESTON,1998,13,266959,268985,535944,0,0,0,266959,268985,535944
LAUNCESTON1999,LAUNCESTON,1999,13,270833,273131,543964,0,0,0,270833,273131,543964
LAUNCESTON2000,LAUNCESTON,2000,13,263006,266852,529858,0,0,0,263006,266852,529858
LAUNCESTON2001,LAUNCESTON,2001,13,253621,255391,509012,0,0,0,253621,255391,509012
LAUNCESTON2002,LAUNCESTON,2002,12,283450,286958,570408,0,0,0,283450,286958,570408
LAUNCESTON2003,LAUNCESTON,2003,12,302799,305118,607917,0,0,0,302799,305118,607917
LAUNCESTON2004,LAUNCESTON,2004,12,374048,376414,750462,0,0,0,374048,376414,750462
LAUNCESTON2005,LAUNCESTON,2005,12,440829,446275,887104,0,0,0,440829,446275,887104
LAUNCESTON2006,LAUNCESTON,2006,12,479463,483870,963333,0,0,0,479463,483870,963333
LAUNCESTON2007,LAUNCESTON,2007,12,521353,518085,1039438,0,0,0,521353,518085,1039438
LAUNCESTON2008,LAUNCESTON,2008,13,565122,562365,1127487,0,0,0,565122,562365,1127487
LAUNCESTON2009,LAUNCESTON,2009,13,568639,567735,1136374,0,0,0,568639,567735,1136374
LAUNCESTON2010,LAUNCESTON,2010,13,579966,578001,1157967,0,0,0,579966,578001,1157967
LAUNCESTON2011,LAUNCESTON,2011,13,563246,562368,1125614,0,0,0,563246,562368,1125614
LAUNCESTON2012,LAUNCESTON,2012,13,585854,586419,1172273,0,0,0,585854,586419,1172273
LAUNCESTON2013,LAUNCESTON,2013,12,628995,628150,1257145,0,0,0,628995,628150,1257145
LAUNCESTON2014,LAUNCESTON,2014,12,644117,645065,1289182,0,0,0,644117,645065,1289182
LAUNCESTON2015,LAUNCESTON,2015,12,642642,643766,1286408,0,0,0,642642,643766,1286408
LAUNCESTON2016,LAUNCESTON,2016,12,665543,665482,1331025,0,0,0,665543,665482,1331025
LEARMONTH1985,LEARMONTH,1985,-,11576,11559,23135,0,0,0,11576,11559,23135
LEARMONTH1986,LEARMONTH,1986,-,12028,12104,24132,0,0,0,12028,12104,24132
LEARMONTH1987,LEARMONTH,1987,-,11086,11155,22241,0,0,0,11086,11155,22241
LEARMONTH1988,LEARMONTH,1988,-,10560,10609,21169,0,0,0,10560,10609,21169
LEARMONTH1989,LEARMONTH,1989,-,8587,8607,17194,0,0,0,8587,8607,17194
LEARMONTH1990,LEARMONTH,1990,-,10351,10361,20712,0,0,0,10351,10361,20712
LEARMONTH1991,LEARMONTH,1991,-,9229,9458,18687,0,0,0,9229,9458,18687
LEARMONTH1992,LEARMONTH,1992,-,10369,10843,21212,0,0,0,10369,10843,21212
LEARMONTH1993,LEARMONTH,1993,-,13616,13841,27457,0,0,0,13616,13841,27457
LEARMONTH1994,LEARMONTH,1994,-,18017,18336,36353,0,0,0,18017,18336,36353
LEARMONTH1995,LEARMONTH,1995,-,13624,14102,27726,0,0,0,13624,14102,27726
LEARMONTH1996,LEARMONTH,1996,-,14138,14062,28200,0,0,0,14138,14062,28200
LEARMONTH1997,LEARMONTH,1997,-,14270,14472,28742,0,0,0,14270,14472,28742
LEARMONTH1998,LEARMONTH,1998,-,9420,9742,19162,0,0,0,9420,9742,19162
LEARMONTH1999,LEARMONTH,1999,-,9022,9400,18422,0,0,0,9022,9400,18422
LEARMONTH2000,LEARMONTH,2000,-,8393,8624,17017,0,0,0,8393,8624,17017
LEARMONTH2001,LEARMONTH,2001,-,6722,7040,13762,0,0,0,6722,7040,13762
LEARMONTH2002,LEARMONTH,2002,-,8020,8160,16180,0,0,0,8020,8160,16180
LEARMONTH2003,LEARMONTH,2003,-,8417,8587,17004,0,0,0,8417,8587,17004
LEARMONTH2004,LEARMONTH,2004,-,10718,11181,21899,0,0,0,10718,11181,21899
LEARMONTH2005,LEARMONTH,2005,-,13956,14502,28458,0,0,0,13956,14502,28458
LEARMONTH2006,LEARMONTH,2006,-,16238,16869,33107,0,0,0,16238,16869,33107
LEARMONTH2007,LEARMONTH,2007,-,19832,20935,40767,0,0,0,19832,20935,40767
LEARMONTH2008,LEARMONTH,2008,-,22457,23119,45576,0,0,0,22457,23119,45576
LEARMONTH2009,LEARMONTH,2009,-,20727,21687,42414,0,0,0,20727,21687,42414
LEARMONTH2010,LEARMONTH,2010,61,24562,25804,50366,0,0,0,24562,25804,50366
LEARMONTH2011,LEARMONTH,2011,51,33803,34867,68670,0,0,0,33803,34867,68670
LEARMONTH2012,LEARMONTH,2012,49,45474,46930,92404,0,0,0,45474,46930,92404
LEARMONTH2013,LEARMONTH,2013,48,44876,46867,91743,0,0,0,44876,46867,91743
LEARMONTH2014,LEARMONTH,2014,46,43788,44394,88182,0,0,0,43788,44394,88182
LEARMONTH2015,LEARMONTH,2015,47,42055,43362,85417,0,0,0,42055,43362,85417
LEARMONTH2016,LEARMONTH,2016,47,41716,42922,84638,0,0,0,41716,42922,84638
LISMORE1985,LISMORE,1985,-,2772,2867,5639,0,0,0,2772,2867,5639
LISMORE1986,LISMORE,1986,-,2668,2742,5410,0,0,0,2668,2742,5410
LISMORE1987,LISMORE,1987,-,2558,2471,5029,0,0,0,2558,2471,5029
LISMORE1988,LISMORE,1988,-,2467,2533,5000,0,0,0,2467,2533,5000
LISMORE1989,LISMORE,1989,-,1916,1911,3827,0,0,0,1916,1911,3827
LISMORE1990,LISMORE,1990,-,2095,2146,4241,0,0,0,2095,2146,4241
LISMORE1991,LISMORE,1991,-,11339,10843,22182,0,0,0,11339,10843,22182
LISMORE1992,LISMORE,1992,-,15146,14488,29634,0,0,0,15146,14488,29634
LISMORE1993,LISMORE,1993,-,18367,18978,37345,0,0,0,18367,18978,37345
LISMORE1994,LISMORE,1994,-,24367,24522,48889,0,0,0,24367,24522,48889
LISMORE1995,LISMORE,1995,48,25743,26243,51986,0,0,0,25743,26243,51986
LISMORE1996,LISMORE,1996,46,25733,25667,51400,0,0,0,25733,25667,51400
LISMORE1997,LISMORE,1997,46,25326,25797,51123,0,0,0,25326,25797,51123
LISMORE1998,LISMORE,1998,-,23987,24494,48481,0,0,0,23987,24494,48481
LISMORE1999,LISMORE,1999,-,23531,23800,47331,0,0,0,23531,23800,47331
LISMORE2000,LISMORE,2000,-,22691,23189,45880,0,0,0,22691,23189,45880
LISMORE2001,LISMORE,2001,-,18085,18659,36744,0,0,0,18085,18659,36744
LISMORE2002,LISMORE,2002,-,16832,17446,34278,0,0,0,16832,17446,34278
LISMORE2003,LISMORE,2003,-,21642,21907,43549,0,0,0,21642,21907,43549
LISMORE2004,LISMORE,2004,46,33010,33091,66101,0,0,0,33010,33091,66101
LISMORE2005,LISMORE,2005,47,33128,32630,65758,0,0,0,33128,32630,65758
LISMORE2006,LISMORE,2006,49,32639,32528,65167,0,0,0,32639,32528,65167
LISMORE2007,LISMORE,2007,50,34757,34447,69204,0,0,0,34757,34447,69204
LISMORE2008,LISMORE,2008,53,32932,32823,65755,0,0,0,32932,32823,65755
LISMORE2009,LISMORE,2009,54,28550,28465,57015,0,0,0,28550,28465,57015
LISMORE2010,LISMORE,2010,58,26080,26239,52319,0,0,0,26080,26239,52319
LISMORE2011,LISMORE,2011,-,23375,23437,46812,0,0,0,23375,23437,46812
LISMORE2012,LISMORE,2012,-,19746,19802,39548,0,0,0,19746,19802,39548
LISMORE2013,LISMORE,2013,-,16690,16336,33026,0,0,0,16690,16336,33026
LISMORE2014,LISMORE,2014,-,15373,15129,30502,0,0,0,15373,15129,30502
LISMORE2015,LISMORE,2015,-,11345,11083,22428,0,0,0,11345,11083,22428
LISMORE2016,LISMORE,2016,-,10447,10161,20608,0,0,0,10447,10161,20608
LONGREACH1985,LONGREACH,1985,-,3051,3058,6109,0,0,0,3051,3058,6109
LONGREACH1986,LONGREACH,1986,-,3116,3067,6183,0,0,0,3116,3067,6183
LONGREACH1987,LONGREACH,1987,-,1218,1115,2333,0,0,0,1218,1115,2333
LONGREACH1988,LONGREACH,1988,-,0,0,0,0,0,0,0,0,0
LONGREACH1989,LONGREACH,1989,-,0,0,0,0,0,0,0,0,0
LONGREACH1990,LONGREACH,1990,-,0,0,0,0,0,0,0,0,0
LONGREACH1991,LONGREACH,1991,-,3618,3546,7164,0,0,0,3618,3546,7164
LONGREACH1992,LONGREACH,1992,-,3877,4067,7944,0,0,0,3877,4067,7944
LONGREACH1993,LONGREACH,1993,-,3485,3549,7034,0,0,0,3485,3549,7034
LONGREACH1994,LONGREACH,1994,-,4757,5003,9760,0,0,0,4757,5003,9760
LONGREACH1995,LONGREACH,1995,-,5574,5763,11337,0,0,0,5574,5763,11337
LONGREACH1996,LONGREACH,1996,-,5662,5883,11545,0,0,0,5662,5883,11545
LONGREACH1997,LONGREACH,1997,-,5687,6387,12074,0,0,0,5687,6387,12074
LONGREACH1998,LONGREACH,1998,-,7272,8126,15398,0,0,0,7272,8126,15398
LONGREACH1999,LONGREACH,1999,-,9651,9884,19535,0,0,0,9651,9884,19535
LONGREACH2000,LONGREACH,2000,-,9524,9746,19270,0,0,0,9524,9746,19270
LONGREACH2001,LONGREACH,2001,-,8806,8718,17524,0,0,0,8806,8718,17524
LONGREACH2002,LONGREACH,2002,-,10400,10734,21134,0,0,0,10400,10734,21134
LONGREACH2003,LONGREACH,2003,-,8998,9494,18492,0,0,0,8998,9494,18492
LONGREACH2004,LONGREACH,2004,-,8373,8992,17365,0,0,0,8373,8992,17365
LONGREACH2005,LONGREACH,2005,-,8335,8916,17251,0,0,0,8335,8916,17251
LONGREACH2006,LONGREACH,2006,-,9332,9915,19247,0,0,0,9332,9915,19247
LONGREACH2007,LONGREACH,2007,-,11499,12401,23900,0,0,0,11499,12401,23900
LONGREACH2008,LONGREACH,2008,-,14062,15223,29285,0,0,0,14062,15223,29285
LONGREACH2009,LONGREACH,2009,-,13859,14976,28835,0,0,0,13859,14976,28835
LONGREACH2010,LONGREACH,2010,-,15133,16052,31185,0,0,0,15133,16052,31185
LONGREACH2011,LONGREACH,2011,-,15374,19572,34946,0,0,0,15374,19572,34946
LONGREACH2012,LONGREACH,2012,-,14760,15721,30481,0,0,0,14760,15721,30481
LONGREACH2013,LONGREACH,2013,-,15027,15996,31023,0,0,0,15027,15996,31023
LONGREACH2014,LONGREACH,2014,-,15258,16209,31467,0,0,0,15258,16209,31467
LONGREACH2015,LONGREACH,2015,-,14928,15731,30659,0,0,0,14928,15731,30659
LONGREACH2016,LONGREACH,2016,-,15071,15905,30976,0,0,0,15071,15905,30976
LORD HOWE ISLAND1985,LORD HOWE ISLAND,1985,-,8976,8029,17005,0,0,0,8976,8029,17005
LORD HOWE ISLAND1986,LORD HOWE ISLAND,1986,-,9562,9212,18774,0,0,0,9562,9212,18774
LORD HOWE ISLAND1987,LORD HOWE ISLAND,1987,-,9615,9675,19290,0,0,0,9615,9675,19290
LORD HOWE ISLAND1988,LORD HOWE ISLAND,1988,-,10440,9975,20415,0,0,0,10440,9975,20415
LORD HOWE ISLAND1989,LORD HOWE ISLAND,1989,-,10213,9660,19873,0,0,0,10213,9660,19873
LORD HOWE ISLAND1990,LORD HOWE ISLAND,1990,-,8333,8752,17085,0,0,0,8333,8752,17085
LORD HOWE ISLAND1991,LORD HOWE ISLAND,1991,-,6972,7075,14047,0,0,0,6972,7075,14047
LORD HOWE ISLAND1992,LORD HOWE ISLAND,1992,-,11502,11747,23249,0,0,0,11502,11747,23249
LORD HOWE ISLAND1993,LORD HOWE ISLAND,1993,-,9054,8674,17728,0,0,0,9054,8674,17728
LORD HOWE ISLAND1994,LORD HOWE ISLAND,1994,-,8829,8562,17391,0,0,0,8829,8562,17391
LORD HOWE ISLAND1995,LORD HOWE ISLAND,1995,-,10095,10038,20133,0,0,0,10095,10038,20133
LORD HOWE ISLAND1996,LORD HOWE ISLAND,1996,-,10808,10802,21610,0,0,0,10808,10802,21610
LORD HOWE ISLAND1997,LORD HOWE ISLAND,1997,-,12334,12347,24681,0,0,0,12334,12347,24681
LORD HOWE ISLAND1998,LORD HOWE ISLAND,1998,-,13258,13416,26674,0,0,0,13258,13416,26674
LORD HOWE ISLAND1999,LORD HOWE ISLAND,1999,-,13921,13943,27864,0,0,0,13921,13943,27864
LORD HOWE ISLAND2000,LORD HOWE ISLAND,2000,-,12500,12596,25096,0,0,0,12500,12596,25096
LORD HOWE ISLAND2001,LORD HOWE ISLAND,2001,-,12517,12542,25059,0,0,0,12517,12542,25059
LORD HOWE ISLAND2002,LORD HOWE ISLAND,2002,-,12580,12565,25145,0,0,0,12580,12565,25145
LORD HOWE ISLAND2003,LORD HOWE ISLAND,2003,-,13130,12985,26115,0,0,0,13130,12985,26115
LORD HOWE ISLAND2004,LORD HOWE ISLAND,2004,-,13233,13218,26451,0,0,0,13233,13218,26451
LORD HOWE ISLAND2005,LORD HOWE ISLAND,2005,-,14356,14253,28609,0,0,0,14356,14253,28609
LORD HOWE ISLAND2006,LORD HOWE ISLAND,2006,-,16004,16095,32099,0,0,0,16004,16095,32099
LORD HOWE ISLAND2007,LORD HOWE ISLAND,2007,-,16653,16872,33525,0,0,0,16653,16872,33525
LORD HOWE ISLAND2008,LORD HOWE ISLAND,2008,-,17329,17244,34573,0,0,0,17329,17244,34573
LORD HOWE ISLAND2009,LORD HOWE ISLAND,2009,-,16558,16520,33078,0,0,0,16558,16520,33078
LORD HOWE ISLAND2010,LORD HOWE ISLAND,2010,-,16401,16433,32834,0,0,0,16401,16433,32834
LORD HOWE ISLAND2011,LORD HOWE ISLAND,2011,-,15571,15554,31125,0,0,0,15571,15554,31125
LORD HOWE ISLAND2012,LORD HOWE ISLAND,2012,-,16006,15871,31877,0,0,0,16006,15871,31877
LORD HOWE ISLAND2013,LORD HOWE ISLAND,2013,-,16969,16989,33958,0,0,0,16969,16989,33958
LORD HOWE ISLAND2014,LORD HOWE ISLAND,2014,-,16764,16716,33480,0,0,0,16764,16716,33480
LORD HOWE ISLAND2015,LORD HOWE ISLAND,2015,-,16495,16448,32943,0,0,0,16495,16448,32943
LORD HOWE ISLAND2016,LORD HOWE ISLAND,2016,-,17653,17819,35472,0,0,0,17653,17819,35472
MACKAY1985,MACKAY,1985,18,98746,99604,198350,0,0,0,98746,99604,198350
MACKAY1986,MACKAY,1986,17,110224,110812,221036,0,0,0,110224,110812,221036
MACKAY1987,MACKAY,1987,18,100409,101239,201648,0,0,0,100409,101239,201648
MACKAY1988,MACKAY,1988,16,99925,100977,200902,0,0,0,99925,100977,200902
MACKAY1989,MACKAY,1989,16,69542,71676,141218,0,0,0,69542,71676,141218
MACKAY1990,MACKAY,1990,17,83087,85060,168147,0,0,0,83087,85060,168147
MACKAY1991,MACKAY,1991,16,93939,96508,190447,0,0,0,93939,96508,190447
MACKAY1992,MACKAY,1992,16,105353,107378,212731,0,0,0,105353,107378,212731
MACKAY1993,MACKAY,1993,16,116331,118188,234519,0,0,0,116331,118188,234519
MACKAY1994,MACKAY,1994,17,127259,129256,256515,0,0,0,127259,129256,256515
